,GSE Day,GSE Time,TLM frame counter,"Pc,rde","Pc,pde","a_x,ci","a_y,ci","a_z,ci","omg_x,ci","omg_y,ci","omg_z,ci",DES loop counter
1,295,53074.038,14745,,0.09389495849609375,0.0,1808.0,1808.0,1808.0,1808.0,1808.0,2266
2,295,53074.038,14746,0.1014862060546875,,0.0,28688.0,28688.0,28688.0,28688.0,28688.0,2267
3,295,53074.039,14747,,0.0912628173828125,0.0,12816.0,12816.0,12816.0,12816.0,12816.0,2268
4,295,53074.039,14748,0.10312652587890625,,0.0,38160.0,38160.0,38160.0,38160.0,38160.0,2269
5,295,53074.04,14749,,0.08199310302734375,0.0,22288.0,22288.0,22288.0,22288.0,22288.0,2270
6,295,53074.041,14750,0.0988922119140625,,0.0,8208.0,8208.0,8208.0,8208.0,8208.0,2271
7,295,53074.041,14751,,0.09839630126953125,0.0,33296.0,33296.0,33296.0,33296.0,33296.0,2272
0,295,53074.042,14752,0.0940093994140625,,0.0,17680.0,17680.0,17680.0,17680.0,17680.0,2273
1,295,53074.043,14753,,0.09984588623046875,0.0,1808.0,1808.0,1808.0,1808.0,1808.0,2274
2,295,53074.043,14754,0.08786773681640625,,0.0,28688.0,28688.0,28688.0,28688.0,28688.0,2275
3,295,53074.044,14755,,0.09603118896484375,0.0,12816.0,12816.0,12816.0,12816.0,12816.0,2276
4,295,53074.044,14756,0.09587860107421875,,0.0,38160.0,38160.0,38160.0,38160.0,38160.0,2277
5,295,53074.045,14757,,0.091796875,0.0,22288.0,22288.0,22288.0,22288.0,22288.0,2278
6,295,53074.046,14758,0.10243988037109375,,0.0,8208.0,8208.0,8208.0,8208.0,8208.0,2279
7,295,53074.046,14759,,0.08542633056640625,0.0,33296.0,33296.0,33296.0,33296.0,33296.0,2280
0,295,53074.047,14760,0.10022735595703125,,0.0,17680.0,17680.0,17680.0,17680.0,17680.0,2281
1,295,53074.048,14761,,0.093017578125,0.0,1808.0,1808.0,1808.0,1808.0,1808.0,2282
2,295,53074.048,14762,0.0952301025390625,,0.0,28688.0,28688.0,28688.0,28688.0,28688.0,2283
3,295,53074.049,14763,,0.09908294677734375,0.0,12816.0,12816.0,12816.0,12816.0,12816.0,2284
4,295,53074.049,14764,0.09091949462890625,,0.0,38160.0,38160.0,38160.0,38160.0,38160.0,2285
5,295,53074.05,14765,,0.0976715087890625,0.0,22288.0,22288.0,22288.0,22288.0,22288.0,2286
6,295,53074.051,14766,0.08939361572265625,,0.0,8208.0,8208.0,8208.0,8208.0,8208.0,2287
7,295,53074.051,14767,,0.09503936767578125,0.0,33296.0,33296.0,33296.0,33296.0,33296.0,2288
0,295,53074.052,14768,0.10243988037109375,,0.0,17680.0,17680.0,17680.0,17680.0,17680.0,2289
1,295,53074.053,14769,,0.09313201904296875,0.0,1808.0,1808.0,1808.0,1808.0,1808.0,2290
2,295,53074.053,14770,0.099273681640625,,0.0,28688.0,28688.0,28688.0,28688.0,28688.0,2291
3,295,53074.054000000004,14771,,0.08664703369140625,0.0,12816.0,12816.0,12816.0,12816.0,12816.0,2292
4,295,53074.054000000004,14772,0.09698486328125,,0.0,38160.0,38160.0,38160.0,38160.0,38160.0,2293
5,295,53074.055,14773,,0.10030364990234375,0.0,22288.0,22288.0,22288.0,22288.0,22288.0,2294
6,295,53074.056000000004,14774,0.09275054931640625,,0.0,8208.0,8208.0,8208.0,8208.0,8208.0,2295
7,295,53074.056000000004,14775,,0.099273681640625,0.0,33296.0,33296.0,33296.0,33296.0,33296.0,2296
0,295,53074.057,14776,0.08550262451171875,,0.0,17680.0,17680.0,17680.0,17680.0,17680.0,2297
1,295,53074.058000000005,14777,,0.09641265869140625,0.0,1808.0,1808.0,1808.0,1808.0,1808.0,2298
2,295,53074.058000000005,14778,0.0987396240234375,,0.0,28688.0,28688.0,28688.0,28688.0,28688.0,2299
3,295,53074.059,14779,,0.08916473388671875,0.0,12816.0,12816.0,12816.0,12816.0,12816.0,2300
4,295,53074.059,14780,0.10137176513671875,,0.0,38160.0,38160.0,38160.0,38160.0,38160.0,2301
5,295,53074.06,14781,,0.08344268798828125,0.0,22288.0,22288.0,22288.0,22288.0,22288.0,2302
6,295,53074.060999999994,14782,0.0972137451171875,,0.0,8208.0,8208.0,8208.0,8208.0,8208.0,2303
7,295,53074.060999999994,14783,,0.095458984375,0.0,33296.0,33296.0,33296.0,33296.0,33296.0,2304
0,295,53074.062,14784,0.09259796142578125,,0.0,17680.0,17680.0,17680.0,17680.0,17680.0,2305
1,295,53074.062999999995,14785,,0.10030364990234375,0.0,1808.0,1808.0,1808.0,1808.0,1808.0,2306
2,295,53074.062999999995,14786,0.0899658203125,,0.0,28688.0,28688.0,28688.0,28688.0,28688.0,2307
